V,E_s_avg,E_s_sd,Dij_s_t_avg,Dij_s_t_sd,Dij_s_m_avg,Dij_s_m_sd,FW_s_t_avg,FW_s_t_sd,FW_s_m_avg,FW_s_m_sd,E_d_avg,E_d_sd,Dij_d_t_avg,Dij_d_t_sd,Dij_d_m_avg,Dij_d_m_sd,FW_d_t_avg,FW_d_t_sd,FW_d_m_avg,FW_d_m_sd
50,9.6,3.2619012860600183,2.782500000009236e-05,1.5964182659960428e-05,2.3203125,0.234375,0.0018361497999999088,0.0001608834757038491,80.1578125,0.01875,844.4,20.32338554473639,0.00024850000000018466,1.6352286458094037e-05,4.225,1.9457071637806909,0.001824391799999958,3.663542458576196e-05,80.1953125,0.0
100,49.2,3.1240998703626617,8.438340000029853e-05,1.2049562192766667e-05,6.8765625,0.011481983169296148,0.006849074599999838,0.0002047043895452031,316.5,0.02096313728906053,3470.4,33.96233207540377,0.0008338334000001169,2.361018153752504e-05,18.34375,0.5341373740668218,0.007283874799999879,0.0003233447800550841,316.5359375,0.025
200,197.8,14.119490075778232,0.00021836680000006937,0.00011571012561124944,13.240625,0.6270746815571492,0.028644950199999998,0.0005029642558019529,1260.2265625,0.0,13918,77.11290423787707,0.0026996328000002735,0.000205118831176898,36.53125,0.5413786293459505,0.03014075819999995,0.0003912919581645483,1260.2734375,0.0
400,793.4,27.470711676256222,0.0010322000000000386,0.00016561327348862818,20.5875,0.04826076628587656,0.14143949160000008,0.003304894297992869,5022.7265625,0.0,55724.2,161.52201088396592,0.009502458400000257,0.00016567978056795395,75.35,1.5874830830791553,0.14628835020000003,0.0030507119685820564,5022.7734375,0.0
