V,DFS_t_avg,DFS_t_sd,BFS_t_avg,BFS_t_sd,DFS_m_kB_avg,DFS_m_sd,BFS_m_kB_avg,BFS_m_sd
100,0.000315333200000012,3.9160042083980296e-06,8.286659999994228e-05,1.3626828832514163e-06,8.265625,0.0,8.2109375,0.0
500,0.001547475000000098,9.289391799915071e-07,0.000396791799999896,1.2601345008242124e-06,32.265625,0.0,32.2109375,0.0
1000,0.003101041399999893,9.151143832403662e-06,0.0007899498000000449,4.748485965010185e-06,32.2921875,0.053125,32.2203125,0.01875
