V,DFS_t_avg,DFS_t_sd,BFS_t_avg,BFS_t_sd,DFS_m_kB_avg,DFS_m_sd,BFS_m_kB_avg,BFS_m_sd
100,0.0003218331999999435,3.3179335979666385e-06,8.190819999995825e-05,1.271992358539263e-06,8.265625,0.0,8.2109375,0.0
500,0.0015223167999999453,5.161047389703487e-06,0.0003827665999999397,5.497573923128417e-06,32.265625,0.0,32.2109375,0.0
1000,0.0030253664000000845,1.855890363138991e-06,0.0007736750000000292,2.394550563132947e-06,32.265625,0.0,32.2109375,0.0
