V,DFS_t_avg,DFS_t_sd,BFS_t_avg,BFS_t_sd,DFS_m_kB_avg,DFS_m_sd,BFS_m_kB_avg,BFS_m_sd
100,0.00024060819999984772,2.745858728767612e-06,8.702540000005143e-05,8.738243759819232e-07,8.2109375,0.0,8.2109375,0.0
500,0.0011357917999999857,2.6461943545333616e-06,0.0004252332000000081,6.745212820806243e-07,32.2109375,0.0,32.2109375,0.0
1000,0.0022491916000003443,1.2435925467711596e-05,0.000851424999999928,1.1630845489796106e-05,32.2109375,0.0,32.2109375,0.0
