V,DFS_t_avg,DFS_t_sd,BFS_t_avg,BFS_t_sd,DFS_m_kB_avg,DFS_m_sd,BFS_m_kB_avg,BFS_m_sd
100,0.00024045840000006536,3.697996462875226e-06,8.722520000006284e-05,1.4830033579114337e-06,8.2109375,0.0,8.2109375,0.0
500,0.0011273166000002276,4.948354740448689e-06,0.00042613320000004504,1.1895690645252367e-06,32.2109375,0.0,32.2109375,0.0
1000,0.002245050000000326,2.7913885935072298e-05,0.0008530832000001709,8.054001077431993e-06,32.2109375,0.0,32.2109375,0.0
