V,DFS_t_avg,DFS_t_sd,BFS_t_avg,BFS_t_sd,DFS_m_kB_avg,DFS_m_sd,BFS_m_kB_avg,BFS_m_sd
100,0.00031064999999994567,4.739470223450135e-06,8.28331999999321e-05,1.392675324383101e-06,8.265625,0.0,8.2109375,0.0
500,0.0015543582000001166,1.810444347020462e-05,0.0004012498000001585,7.727741879463097e-06,32.265625,0.0,32.2109375,0.0
1000,0.003125483400000029,1.5450091774567766e-05,0.000809858599999913,1.6275502998395335e-05,32.265625,0.0,32.2109375,0.0
