Vertices,Edges_sparse_avg,Edges_sparse_sd,Prim_sparse_time_avg,Prim_sparse_time_sd,Prim_sparse_mem_avg_kB,Prim_sparse_mem_sd_kB,Kruskal_sparse_time_avg,Kruskal_sparse_time_sd,Kruskal_sparse_mem_avg_kB,Kruskal_sparse_mem_sd_kB,Edges_dense_avg,Edges_dense_sd,Prim_dense_time_avg,Prim_dense_time_sd,Prim_dense_mem_avg_kB,Prim_dense_mem_sd_kB,Kruskal_dense_time_avg,Kruskal_dense_time_sd,Kruskal_dense_mem_avg_kB,Kruskal_dense_mem_sd_kB
50,12.8,4.019950248448356,6.908399999616677e-06,3.0128587484851778e-06,0.0,0.0,6.292520000066304e-05,6.295902298598531e-06,0.025,0.05,859.8,8.37615663654877,0.0004569502000002501,0.00017699478058261515,9.825,19.65,0.0010976998000000293,1.654343146314597e-05,0.9974609375,1.3706078310063807
100,58.4,6.437390775772433,1.9491799999826753e-05,2.0287235645650922e-05,0.046875,0.0,0.00018064999999936048,1.4499298644817026e-05,0.10625,0.17181106765499712,3475.2,34.81034329046469,0.0021820750000003386,0.00030782863798112703,66.9171875,29.1483324257688,0.005194000200000559,0.00023757235530619952,55.9251953125,1.143795692073142
200,193,14.25482374496437,0.00020561679999993033,0.00016927762704788536,0.06328125,0.013395647030845505,0.0005368998000005121,4.294164986767367e-05,0.11171875,0.16875,13963.6,80.6439086354326,0.010784242000000078,0.0005980748289858522,109.234375,1.285739087062379,0.02263456640000001,0.0010333107920910871,111.9125,0.7066647012551285
400,779.6,42.6830177002517,0.0016658496000001577,7.152330332880798e-05,0.07421875,0.0,0.0015691083999996636,3.979316715482284e-05,0.02734375,0.0,55801.8,87.37825816528961,0.04555774180000079,0.0008306168576267016,119.78671875,1.9322913858939597,0.09296312520000001,0.002532452910676678,125.02734375,0.0
